0,1,2,3,4
과 목,제 12 기(당기),,제 11 기(전기),
장기보증금의 감소,"170,706,000",,-,
lll. 재무활동으로 인한 현금흐름,,"160,573,625",,"(193,996,724)"
정부보조금의 수령(반환),"(99,243,995)",,"(23,402,355)",
리스부채의 상환,"(123,946,380)",,"(57,447,304)",
장기임대보증금 증가,"383,764,000",,"(113,147,065)",
IV. 현금및현금성자산의 순증가(감소),,"11,791,125,476",,"11,324,377,809"
V. 기초 현금및현금성자산,,"31,638,171,045",,"20,313,793,236"
"V
I. 기말 현금및현금성자산",,"43,429,296,521",,"31,638,171,045"
Ⅶ. 정부보조금 등,,"(93,023,792)",,"(192,267,787)"
Ⅷ. 정부보조금 차감 후 기말 현금및현금성자산,,"43,336,272,729",,"31,445,903,258"
