0,1,2,3,4,5
과               목,주석,제 13(당)기 반기,,제 12(전)기 반기,
1. 매출액,29,,"54,118,475,517",,"54,590,124,783"
용역매출액,,"50,686,304,970",,"50,512,509,157",
정부보조금수익,,"2,957,975,433",,"3,433,008,395",
수탁사업수익,,"38,071,614",,"149,756,868",
기타매출액,,"436,123,500",,"494,850,363",
2. 매출원가,24,,"40,531,911,061",,"40,418,721,633"
용역매출원가,,"37,253,026,965",,"36,632,521,418",
정부보조금수익 매출원가,,"2,957,975,433",,"3,433,008,395",
수탁사업수익 매출원가,,"38,071,614",,"149,756,868",
기타매출원가,,"282,837,049",,"203,434,952",
3. 매출총이익,,,"13,586,564,456",,"14,171,403,150"
4. 판매비와관리비,24,,"20,704,411,816",,"20,938,086,624"
급여,,"12,075,100,170",,"11,984,163,390",
퇴직급여,,"1,094,347,551",,"1,057,689,687",
해고급여,,"243,993,750",,"246,820,950",
복리후생비,,"212,258,841",,"221,372,037",
보험료,,"119,758,133",,"173,939,129",
감가상각비,,"1,431,944,362",,"1,365,663,166",
무형자산상각비,,"88,066,355",,"106,808,019",
지급수수료,,"1,240,490,288",,"1,305,558,187",
광고선전비,,"27,885,200",,"118,396,750",
교육훈련비,,"124,646,516",,"128,582,471",
차량유지비,,"17,286,276",,"16,761,522",
도서인쇄비,,"6,061,009",,"5,754,554",
업무추진비,,"22,723,385",,"23,201,980",
임차료,,"284,849,736",,"312,318,168",
통신비,,"16,875,468",,"23,244,445",
세금과공과,,"1,122,996,275",,"1,136,340,269",
소모품비,,"99,763,907",,"95,259,904",
수도광열비,,"191,491,789",,"221,158,885",
수선비,,"129,309,133",,"90,128,918",
여비교통비,,"29,141,684",,"30,761,377",
조사분석비,,"1,512,461,301",,"1,550,646,436",
판매촉진비,,"172,226,478",,"224,702,114",
기타 판매비와 관리비,,"440,734,209",,"498,814,266",
5. 영업손실,,,"(7,117,847,360)",,"(6,766,683,474)"
